,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,match_id,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,team_name,opp_name,scheduled,is_home,match_id,points,goals
30,30.0,0.5414638203286091,0.33955699557187313,0.11897918409951792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,Bayern Munich,0.0,0.0,1.0,2016-11-19 17:30:00,Borussia Dortmund,Bayer Leverkusen,RB Leipzig,2016-11-18 19:30:00,1,91.0,0.0,2.0
31,31.0,0.601125982283213,0.2983504251367985,0.10052359257998844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,Borussia Dortmund,0.0,0.0,0.0,2016-11-19 17:30:00,Bayern Munich,FC Ingolstadt,SV Darmstadt 98,2016-11-19 14:30:00,0,93.0,3.0,1.0
32,32.0,0.3343893247142913,0.3673256393354847,0.298285035950224,0.0,0.0,1.0,0.0,0.0,3.0,1.0,99.0,Werder Bremen,0.0,3.0,3.0,2016-11-20 16:30:00,Eintracht Frankfurt,1 FSV Mainz 05,SC Freiburg,2016-11-19 14:30:00,1,92.0,3.0,4.0
33,33.0,0.4908140933905818,0.34225503299753823,0.16693087361187994,0.0,0.0,1.0,1.0,0.0,0.0,0.0,99.0,Eintracht Frankfurt,1.0,0.0,0.0,2016-11-20 16:30:00,Werder Bremen,RB Leipzig,Bayer Leverkusen,2016-11-18 19:30:00,0,91.0,3.0,3.0
34,34.0,0.14655802549805375,0.2928065996006897,0.5606353749012567,0.0,3.0,1.0,1.0,1.0,3.0,3.0,91.0,RB Leipzig,0.0,3.0,3.0,2016-11-18 19:30:00,Bayer Leverkusen,VfL Wolfsburg,FC Schalke 04,2016-11-19 14:30:00,1,95.0,0.0,0.0
35,35.0,0.1771162622063994,0.2956023902555066,0.527281347538094,0.0,0.0,0.0,0.0,0.0,3.0,3.0,91.0,Bayer Leverkusen,0.0,3.0,3.0,2016-11-18 19:30:00,RB Leipzig,Bayern Munich,Borussia Dortmund,2016-11-19 17:30:00,0,97.0,0.0,0.0
36,36.0,0.5253005978993159,0.2850207857302984,0.1896786163703856,1.0,3.0,3.0,0.0,1.0,0.0,0.0,93.0,SV Darmstadt 98,1.0,0.0,1.0,2016-11-19 14:30:00,FC Ingolstadt,SV Darmstadt 98,FC Ingolstadt,2016-11-19 14:30:00,1,93.0,0.0,0.0
37,37.0,0.1409474140536778,0.3167514483113124,0.5423011376350096,0.0,3.0,3.0,1.0,1.0,3.0,3.0,93.0,FC Ingolstadt,1.0,3.0,3.0,2016-11-19 14:30:00,SV Darmstadt 98,1 FC Cologne,Monchengladbach,2016-11-19 14:30:00,0,96.0,3.0,2.0
38,38.0,0.4850342063696757,0.3188645048568539,0.19610128877347047,0.0,0.0,0.0,1.0,1.0,0.0,0.0,120.0,Villarreal CF,0.0,0.0,0.0,2016-11-20 18:00:00,Athletic Bilbao,Granada CF,Valencia CF,2016-11-20 18:00:00,0,116.0,1.0,1.0
39,39.0,0.5830938364252303,0.2821021351223101,0.13480402845245948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,Athletic Bilbao,0.0,0.0,0.0,2016-11-20 18:00:00,Villarreal CF,Espanyol Barcelona,CD Alaves,2016-11-20 18:00:00,0,114.0,3.0,1.0
40,40.0,0.18500944212132486,0.3073619078611375,0.5076286500175377,0.0,3.0,1.0,0.0,1.0,3.0,3.0,119.0,CD Leganes,1.0,3.0,1.0,2016-11-20 18:00:00,CA Osasuna,CD Alaves,Espanyol Barcelona,2016-11-20 18:00:00,1,114.0,0.0,0.0
41,41.0,0.21105070676176116,0.30637008236516866,0.4825792108730701,0.0,3.0,1.0,1.0,1.0,3.0,3.0,119.0,CA Osasuna,0.0,3.0,1.0,2016-11-20 18:00:00,CD Leganes,Athletic Bilbao,Villarreal CF,2016-11-20 18:00:00,1,120.0,3.0,1.0
42,42.0,0.4787617410746558,0.3170796873527921,0.20415857157255216,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.0,SM Caen,0.0,0.0,1.0,2016-11-19 19:00:00,Olympique Marseille,Sevilla FC,Deportivo La Coruna,2016-11-20 18:00:00,0,117.0,3.0,3.0
43,43.0,0.2945226451336618,0.3011391249609518,0.4043382299053864,1.0,3.0,3.0,0.0,1.0,3.0,3.0,125.0,Olympique Marseille,1.0,0.0,3.0,2016-11-19 19:00:00,SM Caen,Deportivo La Coruna,Sevilla FC,2016-11-20 18:00:00,1,117.0,0.0,2.0
44,44.0,0.18647810270682688,0.28441920379712754,0.5291026934960456,0.0,3.0,1.0,0.0,1.0,3.0,3.0,122.0,Toulouse FC,0.0,3.0,1.0,2016-11-19 19:00:00,FC Metz,Malaga CF,FC Barcelona,2016-11-20 18:00:00,0,111.0,1.0,0.0
