,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,diff_goal_for,diff_goal_allowed,diff_attacks,diff_dangerous_attacks,diff_goal_attempts,diff_ball_safe,goals_for,goals_allowed,goals,points,offensive_ranking,opp_defensive_ranking
88,67.0,111,Dijon FCO,119.0,Stade Rennes,2016-09-24 18:00:00,7,3.0,1,4-5-1,-24,11,-3621.33333333,151.666666667,-4.55555555556,-4688.0,1,6,0,0,0.0,0.33333
89,64.0,112,EA Guingamp,113.0,SC Bastia,2016-09-24 18:00:00,7,3.0,0,4-4-2,5,5,-3288.0,672.0,30.6666666667,-448.777777778,3,3,0,0,0.66666,1.0
90,64.0,113,SC Bastia,112.0,EA Guingamp,2016-09-24 18:00:00,7,3.0,1,4-5-1,-5,-5,3288.0,-672.0,-30.6666666667,448.777777778,2,2,0,0,0.33333,0.66666
91,61.0,114,Toulouse FC,118.0,Paris St Germain,2016-09-23 18:45:00,7,3.0,1,4-4-1-1,-75,15,-4025.0,-1032.0,-48.0,-3342.77777778,5,4,0,0,0.66666,1.0
92,66.0,115,FC Girondins Bordeaux,105.0,SM Caen,2016-09-24 18:00:00,7,3.0,1,4-4-2,35,-96,-858.666666667,1343.88888889,46.2222222222,-161.0,6,2,0,0,1.0,0.0
93,69.0,116,AS Nancy,104.0,OGC Nice,2016-09-25 15:00:00,7,3.0,1,4-3-3,-55,-8,2528.33333333,-193.777777778,-25.3333333333,859.444444444,3,1,0,0,0.0,0.0
94,65.0,117,AS Monaco,106.0,SCO Angers,2016-09-24 18:00:00,7,3.0,1,4-2-3-1,13,21,4094.33333333,796.444444444,39.6666666667,1992.88888889,7,5,0,0,1.0,1.0
95,61.0,118,Paris St Germain,114.0,Toulouse FC,2016-09-23 18:45:00,7,3.0,0,4-3-3,75,-15,4025.0,1032.0,48.0,3342.77777778,10,1,0,0,1.0,0.33333
96,67.0,119,Stade Rennes,111.0,Dijon FCO,2016-09-24 18:00:00,7,3.0,0,4-3-3,24,-11,3621.33333333,-151.666666667,4.55555555556,4688.0,5,5,0,0,0.33333,0.33333
97,70.0,120,FC Nantes,101.0,Olympique Marseille,2016-09-25 18:45:00,7,3.0,0,4-4-2,-15,-20,3956.88888889,2652.0,26.6666666667,1240.0,1,4,0,0,0.66666,0.0
