,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,diff_goal_for,diff_goal_allowed,diff_attacks,diff_dangerous_attacks,diff_goal_attempts,diff_ball_safe,rpi,goals_for,goals_allowed,goals,points,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
44,41.0,65,Hamburger SV,76.0,Bayern Munich,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,-63,63,-99687.0,-18720.0,-768.0,-64053.0,0.517276422764,1,8,0,0,0.0,1.0,0.33333,0.33333
45,42.0,66,Monchengladbach,72.0,FC Ingolstadt,2016-09-24 13:30:00,5,3.0,1,3-4-3,35,-24,31200.0,-1455.0,-400.0,32571.0,0.281914893617,6,5,0,0,0.33333,0.33333,0.0,0.66666
46,37.0,67,Borussia Dortmund,64.0,SC Freiburg,2016-09-23 18:30:00,5,3.0,1,4-1-4-1,105,-12,18299.0,9455.0,649.0,5400.0,0.588455149502,11,2,0,0,1.0,1.0,1.0,1.0
47,39.0,68,FC Augsburg,77.0,SV Darmstadt 98,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,5,-33,38720.0,3933.0,264.0,19304.0,0.634803921569,3,4,0,0,0.33333,0.0,1.0,1.0
48,38.0,69,Eintracht Frankfurt,63.0,Hertha BSC,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,0,-5,565.0,4104.0,867.0,11739.0,0.531349206349,4,2,0,0,1.0,0.66666,0.66666,0.0
49,43.0,70,Werder Bremen,75.0,VfL Wolfsburg,2016-09-24 16:30:00,5,3.0,1,4-2-3-1,8,39,-29627.0,-6768.0,-1080.0,-6264.0,0.369186046512,3,8,0,0,0.33333,0.0,0.0,0.33333
50,40.0,71,Bayer Leverkusen,73.0,1 FSV Mainz 05,2016-09-24 13:30:00,5,3.0,0,4-4-2,-65,-27,41391.0,6825.0,-325.0,11792.0,0.559523809524,4,3,0,0,0.66666,0.0,0.66666,0.66666
51,42.0,72,FC Ingolstadt,66.0,Monchengladbach,2016-09-24 13:30:00,5,3.0,0,4-2-3-1,-35,24,-31200.0,1455.0,400.0,-32571.0,0.554347826087,1,7,0,0,0.0,0.66666,0.66666,0.0
52,40.0,73,1 FSV Mainz 05,71.0,Bayer Leverkusen,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,65,27,-41391.0,-6825.0,325.0,-11792.0,0.5773657289,9,6,0,0,1.0,0.66666,0.66666,0.66666
53,45.0,74,RB Leipzig,78.0,1 FC Cologne,2016-09-25 15:30:00,5,3.0,0,4-4-2,0,0,10260.0,4536.0,-108.0,11792.0,0.377083333333,6,1,0,0,0.66666,0.66666,0.0,1.0
54,43.0,75,VfL Wolfsburg,70.0,Werder Bremen,2016-09-24 16:30:00,5,3.0,0,4-2-3-1,-8,-39,29627.0,6768.0,1080.0,6264.0,0.469429347826,1,5,0,0,0.66666,0.0,0.33333,0.0
55,41.0,76,Bayern Munich,65.0,Hamburger SV,2016-09-24 13:30:00,5,3.0,0,4-3-3,63,-63,99687.0,18720.0,768.0,64053.0,0.452380952381,8,1,0,0,1.0,0.33333,0.33333,0.33333
