,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_for,goals_allowed,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_goals_allowed,ratio_of_attacks,0,1,2,SVC,actual
47,41,76,Bayern Munich,65,Hamburger SV,0,8,1,0.25,1,0.68,0.33333,1.053763441,0.459183673,1.136729223,8,0.438679245,0.215239061,-0.756363034,-0.763148518,3,3
48,42,66,Monchengladbach,72,FC Ingolstadt,1,6,5,0.4,0.33333,0.708333333,0.33333,1.136729223,0.438679245,1.162068966,7,0.424332344,-0.291916833,-0.503990749,0.16699967,1,0
49,42,72,FC Ingolstadt,66,Monchengladbach,0,1,7,0.04,0,0.772727273,0.66666,0.992156863,0.509881423,1.264317181,5,0.515679443,0.159525161,0.553158695,0.360329939,0,3
50,39,68,FC Augsburg,77,SV Darmstadt 98,1,3,4,0.12,0.33333,0.825,0,1.2,0.509090909,1.032967033,7,0.40070922,-0.216509861,-0.749566369,-0.833331389,3,3
51,39,77,SV Darmstadt 98,68,FC Augsburg,0,2,7,0.105263158,0,0.862068966,0.33333,0.961089494,0.615384615,0.859574468,4,0.465346535,0.905810028,1.205427975,0.291320736,0,0
52,43,70,Werder Bremen,75,VfL Wolfsburg,1,3,8,0.142857143,0.33333,0.848484848,0,1.053191489,0.552188552,0.992156863,5,0.509881423,-0.219587915,-0.134593856,-0.108533414,3,3
53,43,75,VfL Wolfsburg,70,Werder Bremen,0,1,5,0.025641026,0.66666,0.764705882,0,1.162068966,0.424332344,1.146067416,8,0.5,-0.238846909,-0.24724177,-0.282731755,3,0
54,40,71,Bayer Leverkusen,73,1 FSV Mainz 05,0,4,3,0.133333333,0.66666,0.8,0,1.032967033,0.40070922,1.146953405,6,0.540625,0.912561099,0.849567811,0.375818287,0,3
55,40,73,1 FSV Mainz 05,71,Bayer Leverkusen,1,9,6,0.257142857,1,0.857142857,0.66666,0.975862069,0.434628975,0.961089494,3,0.615384615,-0.951663337,-0.094592632,0.605171152,1,0
56,45,74,RB Leipzig,78,1 FC Cologne,0,6,1,0.230769231,0.66666,0.96875,0.66666,1.135849057,0.455149502,1.053763441,1,0.459183673,0.905128462,0.405068188,-0.545178708,0,1
57,45,78,1 FC Cologne,74,RB Leipzig,1,6,1,0.214285714,0.66666,0.923076923,1,1.032846715,0.445229682,1.073929961,1,0.423913043,0.801518011,-0.242904655,-1.017312007,3,1
58,47,81,Granada CF,84,Athletic Bilbao,1,4,9,0.142857143,0.66666,0.928571429,0.66666,1.049792531,0.588932806,0.978354978,2,0.57079646,1.000311159,0.501831362,-0.595324939,0,0
59,47,84,Athletic Bilbao,81,Granada CF,0,3,2,0.130434783,0.33333,0.735294118,0,1.064516129,0.616161616,1.101265823,9,0.540229885,0.563851525,-0.173836854,-0.568819805,3,3
60,48,82,Espanyol Barcelona,94,CA Osasuna,0,3,5,0.1875,0,0.8,0,1.077441077,0.425,0.935222672,7,0.497835498,0.436562549,0.752270485,0.53799375,0,3
61,48,94,CA Osasuna,82,Espanyol Barcelona,1,2,7,0.117647059,0,0.791666667,0.33333,1.042194093,0.627530364,1.024291498,5,0.517786561,-0.231245866,-0.307160568,-0.346784468,3,0
62,50,83,CD Alaves,95,Valencia CF,0,2,1,0.105263158,0,0.806451613,0.33333,1.101265823,0.540229885,0.94921875,6,0.530864198,0.837035174,0.667430451,0.035189086,0,0
