,round,scheduled,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_allowed,goals_for,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_goals_allowed,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,points,random,ratio_ball_safe_to_dangerous_attacks,ratio_of_attacks,actual,SVC,0,1,2
48,5,9/24/16 13:30,38,69,Eintracht Frankfurt,63,Hertha BSC,1,2,4,0.117647059,1,0.884615385,0.66666,3,1.067484663,0.416666667,0,0,0.975862069,0.434628975,1,3,-0.317032802,-0.905650948,-1.098967781
43,5,9/23/16 18:30,37,64,SC Freiburg,67,Borussia Dortmund,0,4,4,0.166666667,0.33333,0.909090909,1,2,0.859574468,0.465346535,0,1,1.135849057,0.455149502,0,0,1.361643027,1.169585471,0.261856315
46,5,9/23/16 18:30,37,67,Borussia Dortmund,64,SC Freiburg,1,2,11,0.314285714,1,0.764705882,1,4,1.073929961,0.423913043,0,0,1.2,0.509090909,3,3,0.417875375,-0.670752458,-0.498959686
44,5,9/24/16 13:30,41,65,Hamburger SV,76,Bayern Munich,1,8,1,0.0625,0,0.947368421,1,1,1.264317181,0.515679443,0,0,1.032846715,0.445229682,0,0,1.14237607,0.668569912,-0.709394361
55,5,9/24/16 13:30,41,76,Bayern Munich,65,Hamburger SV,0,1,8,0.25,1,0.68,0.33333,8,1.053763441,0.459183673,0,3,1.136729223,0.438679245,3,3,-2.270188966,-1.870289191,-1.290889617
45,5,9/24/16 13:30,42,66,Monchengladbach,72,FC Ingolstadt,1,5,6,0.4,0.33333,0.708333333,0.33333,7,1.136729223,0.438679245,0,0,1.162068966,0.424332344,0,1,0.19504538,-0.166731297,0.696998473
51,5,9/24/16 13:30,42,72,FC Ingolstadt,66,Monchengladbach,0,7,1,0.04,0,0.772727273,0.66666,5,0.992156863,0.509881423,0,0,1.264317181,0.515679443,3,0,-0.808810107,0.99344353,1.665489309
47,5,9/24/16 13:30,39,68,FC Augsburg,77,SV Darmstadt 98,1,4,3,0.12,0.33333,0.825,0,7,1.2,0.509090909,0,1,1.032967033,0.40070922,3,3,0.517108043,-0.568888002,-1.417471693
56,5,9/24/16 13:30,39,77,SV Darmstadt 98,68,FC Augsburg,0,7,2,0.105263158,0,0.862068966,0.33333,4,0.961089494,0.615384615,0,1,0.859574468,0.465346535,0,0,1.091704943,1.80681815,1.068454132
49,5,9/24/16 16:30,43,70,Werder Bremen,75,VfL Wolfsburg,1,8,3,0.142857143,0.33333,0.848484848,0,5,1.053191489,0.552188552,0,3,0.992156863,0.509881423,3,3,0.046699547,-0.3807058,0.191535145
