,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,goals_for,goals_allowed,opp_goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,rpi,opp_rpi,goals,points,offensive_ranking,opp_defensive_ranking
29,54.0,50,Hull City,56.0,Liverpool FC,2016-09-24 14:00:00,6,3.0,0,4-3-3,2,6,7,3,0.0952380952381,0.869565217391,0.320610687023,0.602006688963,0.856209150327,1.14122137405,0.640025575448,0.644487932159,0,0,0.0,0.66666
30,57.0,51,Middlesbrough FC,54.0,Tottenham Hotspur,2016-09-24 14:00:00,6,3.0,1,4-2-3-1,2,5,6,1,0.111111111111,0.95652173913,0.391304347826,0.436363636364,1.03536977492,0.905349794239,0.570075757576,0.556604780196,0,0,0.0,1.0
31,51.0,52,Leicester City,58.0,Manchester United,2016-09-24 11:30:00,6,3.0,0,4-4-2,6,5,3,5,0.25,0.827586206897,0.518633540373,0.552845528455,1.1298245614,1.00819672131,0.359411421911,0.50399822695,0,0,0.33333,0.33333
32,60.0,53,Burnley FC,57.0,Watford FC,2016-09-26 19:00:00,6,3.0,1,4-3-3,1,7,8,6,0.0625,0.8,0.392361111111,0.590062111801,1.05494505495,1.18819188192,0.488117573483,0.552431716834,0,0,0.0,0.33333
33,57.0,54,Tottenham Hotspur,51.0,Middlesbrough FC,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,6,1,2,5,0.136363636364,0.791666666667,0.46835443038,0.413173652695,1.13669064748,1.02769230769,0.488095238095,0.487155388471,0,0,1.0,0.66666
34,55.0,55,Bournemouth AFC,44.0,Everton FC,2016-09-24 14:00:00,6,3.0,1,4-3-3,2,5,7,1,0.0909090909091,0.923076923077,0.654028436019,0.391304347826,0.871900826446,1.03536977492,0.697674418605,0.465151515152,0,0,0.33333,1.0
35,54.0,56,Liverpool FC,50.0,Hull City,2016-09-24 14:00:00,6,3.0,1,4-3-3,7,3,2,6,0.269230769231,0.853658536585,0.490196078431,0.586319218241,1.0303030303,1.05136986301,0.531707317073,0.420829033368,0,0,0.66666,0.0
36,60.0,57,Watford FC,53.0,Burnley FC,2016-09-26 19:00:00,6,3.0,0,5-3-2,8,6,1,7,0.25,0.78125,0.552845528455,0.518633540373,1.00819672131,1.1298245614,0.484707446809,0.355984768656,0,0,1.0,0.33333
37,51.0,58,Manchester United,52.0,Leicester City,2016-09-24 11:30:00,6,3.0,1,4-2-3-1,3,5,6,5,0.0833333333333,0.807692307692,0.590062111801,0.392361111111,1.18819188192,1.05494505495,0.525815217391,0.515355273416,0,0,0.66666,0.33333
38,53.0,59,Crystal Palace,60.0,Sunderland AFC,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,7,3,1,5,0.225806451613,0.9,0.533073929961,0.46835443038,0.93795620438,1.13669064748,0.429924242424,0.512857142857,0,0,0.66666,0.0
