,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total
28,28,0.5752813921625168,0.27894085151512105,0.14577775632236206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Borussia Dortmund,0.0,0.0,0.0,2016-11-05 14:30:00,Hamburger SV,99.0,69,Eintracht Frankfurt,70.0,Werder Bremen,2016-11-20 16:30:00,11,3.0,0,3-4-3,0.8333333333333334,0.0,4,3,0,9,0.4941860465116279,2.0,3.0,156.0,9.0,15.0,142.0,2,2.0,12.0,314.0,2,6.0,324.0,12.0,23.0,15.0,145.0,7.0,23.0,115.0,2,7.0,15.0,305.0,1,13.0,291.0,45.0,43.0,23.0
29,29,0.11453603349880324,0.31674489878276496,0.5687190677184317,1.0,3.0,3.0,0.0,1.0,3.0,3.0,Hamburger SV,1.0,3.0,3.0,2016-11-05 14:30:00,Borussia Dortmund,99.0,70,Werder Bremen,69.0,Eintracht Frankfurt,2016-11-20 16:30:00,11,3.0,1,4-1-4-1,0.0,0.8333333333333334,3,4,9,0,0.4931318681318682,1.0,0.0,145.0,7.0,23.0,115.0,2,7.0,15.0,305.0,1,13.0,291.0,45.0,43.0,23.0,156.0,9.0,15.0,142.0,2,2.0,12.0,314.0,2,6.0,324.0,12.0,23.0,15.0
30,30,0.457303304394195,0.3086996623424794,0.2339970332633255,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FC Ingolstadt,0.0,0.0,1.0,2016-11-05 14:30:00,FC Augsburg,91.0,71,Bayer Leverkusen,74.0,RB Leipzig,2016-11-18 19:30:00,11,3.0,1,4-4-2,0.625,1.0,5,8,6,2,0.4621506211180124,2.0,0.0,156.0,3.0,20.0,183.0,4,7.0,15.0,241.0,1,11.0,261.0,19.0,11.0,20.0,166.0,6.0,31.0,165.0,4,4.0,15.0,331.0,4,14.0,380.0,14.0,15.0,31.0
31,31,0.20884003979591764,0.3388142476964742,0.4523457125076081,0.0,3.0,1.0,1.0,1.0,3.0,3.0,FC Augsburg,1.0,3.0,1.0,2016-11-05 14:30:00,FC Ingolstadt,93.0,72,FC Ingolstadt,77.0,SV Darmstadt 98,2016-11-19 14:30:00,11,3.0,0,4-4-2,0.16666666666666666,0.2857142857142857,3,5,7,6,0.365036231884058,1.0,3.0,134.0,3.0,23.0,129.0,1,15.0,5.0,270.0,2,14.0,265.0,43.0,34.0,23.0,114.0,5.0,15.0,97.0,4,3.0,8.0,319.0,1,8.0,290.0,21.0,27.0,15.0
32,32,0.2429510569522001,0.3420165779729008,0.4150323650748991,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1 FC Cologne,0.0,3.0,0.0,2016-11-05 17:30:00,Eintracht Frankfurt,92.0,73,1 FSV Mainz 05,64.0,SC Freiburg,2016-11-19 14:30:00,11,3.0,1,4-2-3-1,0.3333333333333333,0.625,3,5,6,5,0.6333333333333334,4.0,3.0,155.0,7.0,28.0,135.0,3,6.0,14.0,260.0,0,15.0,296.0,17.0,17.0,28.0,149.0,7.0,29.0,130.0,3,10.0,10.0,259.0,2,13.0,299.0,32.0,29.0,29.0
33,33,0.3965826789235921,0.30128704648662,0.30213027458978803,1.0,3.0,3.0,0.0,0.0,0.0,0.0,Eintracht Frankfurt,1.0,3.0,3.0,2016-11-05 17:30:00,1 FC Cologne,91.0,74,RB Leipzig,71.0,Bayer Leverkusen,2016-11-18 19:30:00,11,3.0,0,4-4-2,1.0,0.625,8,5,2,6,0.5773809523809523,3.0,3.0,166.0,6.0,31.0,165.0,4,4.0,15.0,331.0,4,14.0,380.0,14.0,15.0,31.0,156.0,3.0,20.0,183.0,4,7.0,15.0,241.0,1,11.0,261.0,19.0,11.0,20.0
34,34,0.15353818803747474,0.3066633209815276,0.5397984909809976,1.0,3.0,3.0,1.0,1.0,3.0,3.0,SV Darmstadt 98,1.0,3.0,3.0,2016-11-05 14:30:00,Bayer Leverkusen,95.0,75,VfL Wolfsburg,62.0,FC Schalke 04,2016-11-19 14:30:00,11,3.0,1,4-2-3-1,0.375,0.8076923076923077,5,6,5,1,0.4714673913043478,0.0,0.0,167.0,5.0,22.0,139.0,3,7.0,14.0,331.0,2,8.0,340.0,27.0,29.0,22.0,144.0,8.0,26.0,125.0,3,10.0,10.0,223.0,3,10.0,220.0,19.0,17.0,26.0
35,35,0.5173507036110533,0.3053152421821529,0.17733405420679385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayer Leverkusen,0.0,0.0,0.0,2016-11-05 14:30:00,SV Darmstadt 98,97.0,76,Bayern Munich,67.0,Borussia Dortmund,2016-11-19 17:30:00,11,3.0,0,4-3-3,0.8333333333333334,0.6875,6,8,2,5,0.8023255813953489,0.0,0.0,189.0,0.0,43.0,213.0,1,5.0,26.0,272.0,5,16.0,358.0,12.0,9.0,43.0,170.0,5.0,36.0,168.0,5,10.0,12.0,278.0,3,17.0,296.0,29.0,21.0,36.0
36,36,0.5585286057313453,0.3049323642746325,0.13653902999402226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB Leipzig,0.0,0.0,0.0,2016-11-06 14:30:00,1 FSV Mainz 05,93.0,77,SV Darmstadt 98,72.0,FC Ingolstadt,2016-11-19 14:30:00,11,3.0,1,4-2-3-1,0.2857142857142857,0.16666666666666666,5,3,6,7,0.5089285714285714,0.0,0.0,114.0,5.0,15.0,97.0,4,3.0,8.0,319.0,1,8.0,290.0,21.0,27.0,15.0,134.0,3.0,23.0,129.0,1,15.0,5.0,270.0,2,14.0,265.0,43.0,34.0,23.0
37,37,0.11658992604707268,0.307728738244406,0.5756813357085212,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1 FSV Mainz 05,1.0,3.0,3.0,2016-11-06 14:30:00,RB Leipzig,96.0,78,1 FC Cologne,66.0,Monchengladbach,2016-11-19 14:30:00,11,3.0,0,4-4-2,0.3333333333333333,0.1923076923076923,4,0,3,5,0.5396341463414634,2.0,3.0,152.0,7.0,29.0,186.0,4,7.0,17.0,306.0,0,10.0,282.0,21.0,21.0,29.0,147.0,5.0,16.0,107.0,0,7.0,5.0,285.0,0,4.0,258.0,27.0,29.0,16.0
