,scheduled,team_name,opp_name,goals_for,goals_allowed,opp_goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,offensive_ranking,opp_defensive_ranking,SVC,0,1,2
49,9/24/16 16:30,Werder Bremen,VfL Wolfsburg,3,8,1,5,0.142857143,0.848484848,0.848484848,0.509881423,0.552188552,0.992156863,1.053191489,0.33333,0,3,-0.160340533,-0.126511279,-0.232844756
54,9/24/16 16:30,VfL Wolfsburg,Werder Bremen,1,5,3,8,0.025641026,0.764705882,0.764705882,0.5,0.424332344,1.146067416,1.162068966,0.66666,0,3,0.059536057,-0.547552496,-0.736699392
50,9/24/16 13:30,Bayer Leverkusen,1 FSV Mainz 05,4,3,9,6,0.133333333,0.8,0.8,0.540625,0.40070922,1.146953405,1.032967033,0.66666,0,1,-0.918238521,0.122040725,0.872065401
52,9/24/16 13:30,1 FSV Mainz 05,Bayer Leverkusen,9,6,4,3,0.257142857,0.857142857,0.857142857,0.615384615,0.434628975,0.961089494,0.975862069,1,0.66666,1,-0.941080909,0.092730789,0.542797955
53,9/25/16 15:30,RB Leipzig,1 FC Cologne,6,1,6,1,0.230769231,0.96875,0.96875,0.459183673,0.455149502,1.053763441,1.135849057,0.66666,0.66666,0,1.471218881,0.024561654,-1.059898206
57,9/25/16 15:30,1 FC Cologne,RB Leipzig,6,1,6,1,0.214285714,0.923076923,0.923076923,0.423913043,0.445229682,1.073929961,1.032846715,0.66666,1,3,1.312941901,-0.426985035,-1.292710785
58,9/21/16 20:00,Granada CF,Athletic Bilbao,4,9,3,2,0.142857143,0.928571429,0.928571429,0.57079646,0.588932806,0.978354978,1.049792531,0.66666,0.66666,0,0.992292063,0.320325933,-0.801438285
61,9/21/16 20:00,Athletic Bilbao,Granada CF,3,2,4,9,0.130434783,0.735294118,0.735294118,0.540229885,0.616161616,1.101265823,1.064516129,0.33333,0,3,0.794563194,-0.342629177,-0.646865969
59,9/22/16 18:00,Espanyol Barcelona,CA Osasuna,3,5,2,7,0.1875,0.8,0.8,0.497835498,0.425,0.935222672,1.077441077,0,0,0,0.345604555,0.162409067,-0.589117658
71,9/22/16 18:00,CA Osasuna,Espanyol Barcelona,2,7,3,5,0.117647059,0.791666667,0.791666667,0.517786561,0.627530364,1.024291498,1.042194093,0,0.33333,3,-0.166965678,-0.35127859,-0.599505388
60,9/22/16 20:00,CD Alaves,Valencia CF,2,1,3,6,0.105263158,0.806451613,0.806451613,0.530864198,0.540229885,0.94921875,1.101265823,0,0.33333,0,0.494727761,0.165905921,-0.257604095
72,9/22/16 20:00,Valencia CF,CD Alaves,3,6,2,1,0.078947368,0.96969697,0.96969697,0.588932806,0.571428571,1.049792531,1.013793103,1,0.33333,0,0.992103171,0.228739477,-0.74557974
62,9/20/16 20:00,Sevilla FC,Real Betis Balompie,3,2,5,4,0.136363636,0.897435897,0.897435897,0.595833333,0.57079646,0.941176471,0.978354978,0.33333,0,1,-0.329652712,-0.425115691,0.013875196
68,9/20/16 20:00,Real Betis Balompie,Sevilla FC,5,4,3,2,0.128205128,0.9,0.9,0.616161616,0.556034483,1.064516129,1.01754386,1,1,0,0.248290849,0.452618706,-0.152725069
63,9/22/16 18:00,Deportivo La Coruna,CD Leganes,0,1,2,7,0,0.730769231,0.730769231,0.571428571,0.54491018,1.013793103,1.047021944,0.66666,0.33333,3,-0.21178133,-0.746115763,-0.686623999
74,9/22/16 18:00,CD Leganes,Deportivo La Coruna,2,7,0,1,0.086956522,0.958333333,0.958333333,0.404494382,0.530864198,1.030888031,0.94921875,0.33333,0.66666,0,0.813582433,1.026413855,0.155398164
64,9/20/16 18:00,Malaga CF,SD Eibar,2,5,4,2,0.076923077,0.933333333,0.933333333,0.63670412,0.595833333,1.141025641,0.941176471,0.33333,0.66666,3,0.585992701,-0.422747845,-1.133484313
76,9/20/16 18:00,SD Eibar,Malaga CF,4,2,2,5,0.166666667,0.782608696,0.782608696,0.556034483,0.514403292,1.01754386,0.89010989,0.66666,0.66666,0,0.652848763,0.15703843,-0.428829599
65,9/21/16 18:00,Celta de Vigo,Sporting Gijon,1,6,2,6,0.045454545,0.818181818,0.818181818,0.425,0.516025641,1.077441077,1.050505051,0,0,3,-0.740230661,-1.085309509,-0.877961911
75,9/21/16 18:00,Sporting Gijon,Celta de Vigo,2,6,1,6,0.105263158,0.846153846,0.846153846,0.346570397,0.517786561,1.03358209,1.024291498,0,0,0,-0.120437034,0.089288701,-0.198728497
66,9/21/16 20:00,Real Sociedad,Las Palmas UD,4,3,7,3,0.235294118,0.884615385,0.884615385,0.538904899,0.63670412,1.213286713,1.141025641,0.33333,0.66666,1,-0.333077975,-0.11015546,0.534752868
73,9/21/16 20:00,Las Palmas UD,Real Sociedad,7,3,4,3,0.28,0.8125,0.8125,0.514403292,0.46641791,0.89010989,1.019011407,0.66666,1,1,-0.201718021,0.612753291,0.821501552
67,9/21/16 18:00,Real Madrid,Villarreal CF,9,3,4,1,0.18,0.947368421,0.947368421,0.627530364,0.538904899,1.042194093,1.213286713,1,1,3,-0.568252394,-1.178749228,-0.690842592
70,9/21/16 18:00,Villarreal CF,Real Madrid,4,1,9,3,0.166666667,0.842105263,0.842105263,0.46641791,0.497835498,1.019011407,0.935222672,0.66666,1,0,0.955900734,1.293946014,0.731627072
69,9/21/16 20:00,FC Barcelona,Atletico Madrid,7,3,9,0,0.2,1,1,0.54491018,0.346570397,1.047021944,1.03358209,1,1,0,0.773437265,0.232795401,-0.534555387
77,9/21/16 20:00,Atletico Madrid,FC Barcelona,9,0,7,3,0.236842105,0.88,0.88,0.516025641,0.404494382,1.050505051,1.030888031,1,0.66666,0,1.104958994,0.228557063,-0.734685641
78,9/25/16 18:45,Olympique Marseille,FC Nantes,4,6,1,4,0.142857143,0.789473684,0.789473684,0.410071942,0.436507937,1.033457249,0.896797153,0.66666,0.66666,3,0.029170122,-0.256248709,-0.542251073
97,9/25/16 18:45,FC Nantes,Olympique Marseille,1,4,4,6,0.03125,0.785714286,0.785714286,0.571428571,0.420062696,1.162629758,0.969604863,0.66666,0,0,0.053716511,0.201070742,-0.149118702
79,9/24/16 18:00,FC Metz,Montpellier HSC,3,3,3,7,0.142857143,0.78125,0.78125,0.40754717,0.484745763,0.98880597,1.049822064,0.33333,0,0,1.019809471,0.151318609,-0.842202357
84,9/24/16 18:00,Montpellier HSC,FC Metz,3,7,3,3,0.142857143,0.903225806,0.903225806,0.548611111,0.624535316,1.028571429,1.120833333,0.33333,0,3,0.590319386,-0.108377601,-0.991734386
80,9/25/16 13:00,Lille OSC,AS Saint Etienne,2,7,2,1,0.090909091,0.962962963,0.962962963,0.501547988,0.571428571,1.218867925,1.162629758,0.33333,0.66666,0,1.31862774,1.349189812,-0.118397281
85,9/25/16 13:00,AS Saint Etienne,Lille OSC,2,1,2,7,0.111111111,0.65,0.65,0.436507937,0.43359375,0.896797153,1.040650407,0,0.33333,3,-0.130466012,-0.995486631,-1.055598571
81,9/25/16 15:00,OGC Nice,AS Nancy,8,3,3,1,0.363636364,0.958333333,0.958333333,0.439688716,0.378737542,0.883161512,1.030821918,1,1,3,-1.013821939,-0.807322503,-0.126295289
93,9/25/16 15:00,AS Nancy,OGC Nice,3,1,8,3,0.1875,0.90625,0.90625,0.352348993,0.481355932,0.980263158,1.156862745,0,0,0,0.155490932,0.839586228,1.091093311
82,9/24/16 18:00,SM Caen,FC Girondins Bordeaux,1,10,6,2,0.045454545,0.92,0.92,0.448763251,0.40754717,1.164609054,0.98880597,0,0.66666,0,0.942942738,0.535142933,-0.377217531
92,9/24/16 18:00,FC Girondins Bordeaux,SM Caen,6,2,1,10,0.2,0.655172414,0.655172414,0.624535316,0.508928571,1.120833333,1.032258065,1,0,3,0.175570016,-0.571099823,-0.759785092
83,9/24/16 18:00,SCO Angers,AS Monaco,6,2,7,5,0.272727273,0.666666667,0.666666667,0.508928571,0.439688716,1.032258065,0.883161512,0.66666,0.66666,0,0.798463778,0.739282132,0.505226035
94,9/24/16 18:00,AS Monaco,SCO Angers,7,5,6,2,0.24137931,0.888888889,0.888888889,0.481355932,0.448763251,1.156862745,1.164609054,1,1,3,-0.500494844,-0.23213513,-0.161202584
86,9/24/16 15:00,FC Lorient,Olympique Lyon,1,3,6,4,0.058823529,0.84,0.84,0.47107438,0.548611111,1.110091743,1.028571429,0,0.33333,3,-0.357210228,-0.436320182,-0.159935278
87,9/24/16 15:00,Olympique Lyon,FC Lorient,6,4,1,3,0.1875,0.842105263,0.842105263,0.484745763,0.558704453,1.049822064,0.866666667,1,1,0,0.36643179,0.57199333,0.100951037
88,9/24/16 18:00,Dijon FCO,Stade Rennes,1,6,5,5,0.05,0.791666667,0.791666667,0.52851711,0.410071942,1.023346304,1.033457249,0,0.33333,3,-0.467002753,-0.693652444,-0.52864103
96,9/24/16 18:00,Stade Rennes,Dijon FCO,5,5,1,6,0.238095238,0.714285714,0.714285714,0.420062696,0.460815047,0.969604863,1.059800664,0.33333,0.33333,0,0.719398901,0.678425435,-0.101362266
89,9/24/16 18:00,EA Guingamp,SC Bastia,3,3,2,2,0.115384615,0.894736842,0.894736842,0.558704453,0.352348993,0.866666667,0.980263158,0.66666,1,0,1.017672275,0.819676562,-0.099614994
90,9/24/16 18:00,SC Bastia,EA Guingamp,2,2,3,3,0.1,0.857142857,0.857142857,0.378737542,0.47107438,1.030821918,1.110091743,0.33333,0.66666,3,-0.221049073,-0.575118257,-0.522889801
91,9/23/16 18:45,Toulouse FC,Paris St Germain,5,4,10,1,0.217391304,0.95,0.95,0.43359375,0.52851711,1.040650407,1.023346304,0.66666,1,0,0.666260418,0.79747286,0.16633103
95,9/23/16 18:45,Paris St Germain,Toulouse FC,10,1,5,4,0.322580645,0.833333333,0.833333333,0.460815047,0.501547988,1.059800664,1.218867925,1,0.33333,0,0.633143425,0.018721891,-0.28322451
